"","...1","timestamp","host","nickname","city","state","country","url","address","lon","lat","year","df","num_part","other_inst","Awards","Title","Team","Presentation"
"31",31,"4/25/2017 14:28:04","Vassar College","","Arlington","New York","USA","http://pages.vassar.edu/datafest/","Arlington New York USA",-73.8968025,41.6959269,2012,"No",NA,NA,"","","",""
"32",32,"4/25/2017 14:28:21","Purdue University","","Lafayette","Indiana","USA","http://llc.stat.purdue.edu/datafest2016.html","Lafayette Indiana USA",-86.8752869,40.4167022,2012,"No",NA,NA,"","","",""
"33",33,"4/25/2017 14:31:52","Emory University","","Atlanta","Georgia","USA","http://www.quantitative.emory.edu/events/datafest%20.html","Atlanta Georgia USA",-84.3879824,33.7489954,2012,"No",NA,NA,"","","",""
"34",34,"4/25/2017 14:32:44","Davidson College","","Davidson","North Carolina","USA","https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest","Davidson North Carolina USA",-80.8486846,35.4993031,2012,"No",NA,NA,"","","",""
"35",35,"4/25/2017 14:34:07","Middlebury College","","Middlebury","Vermont","USA","http://go.middlebury.edu/datafest","Middlebury Vermont USA",-73.16734,44.0153371,2012,"No",NA,NA,"","","",""
"36",36,"4/25/2017 14:35:02","Wellesley College","","Wellesley","Massachusetts","USA","http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97","Wellesley Massachusetts USA",-71.2923877,42.296797,2012,"No",NA,NA,"","","",""
"37",37,"4/25/2017 14:37:08","Wesleyan University","","Middletown","Connecticut","USA","http://datafest.blogs.wesleyan.edu/","Middletown Connecticut USA",-72.6506488,41.5623209,2012,"No",NA,NA,"","","",""
"38",38,"4/25/2017 15:07:10","Grand Valley State University","","Allendale","Michigan","USA","http://www.gvsu.edu/stat/datafest-50.htm","Allendale Michigan USA",-85.9540407,42.9721934,2012,"No",NA,NA,"","","",""
"39",39,"4/25/2017 15:23:37","Penn State University","","State College","Pennsylvania","USA","http://stat.psu.edu/Events/2016-datafest","State College Pennsylvania USA",-77.8600012,40.7933949,2012,"No",NA,NA,"","","",""
"40",40,"4/25/2017 15:25:14","UCLA","","Los Angeles","California","USA","http://datafest.stat.ucla.edu/","Los Angeles California USA",-118.2436849,34.0522342,2012,"Yes",75,NA,"","","",""
"41",41,"4/25/2017 15:28:06","University of Missouri","","Columbia","Missouri","USA",NA,"Columbia Missouri USA",-92.3340724,38.9517053,2012,"No",NA,NA,"","","",""
"42",42,"4/25/2017 15:30:31","Cleveland State University","","Cleveland","Ohio","USA","https://sites.google.com/view/csudatafest/home","Cleveland Ohio USA",-81.6943605,41.49932,2012,"No",NA,NA,"","","",""
"43",43,"4/25/2017 15:33:19","Ohio State University","","Columbus","Ohio","USA","https://data-analytics.osu.edu/datafest","Columbus Ohio USA",-82.9987942,39.9611755,2012,"No",NA,NA,"","","",""
"44",44,"4/25/2017 16:19:13","Chapman University","","Orange","California","USA","http://www.chapman.edu/scst/conferences-and-events/datafest.aspx","Orange California USA",-117.8531007,33.7879139,2012,"No",NA,NA,"","","",""
"45",45,"4/25/2017 16:28:30","UC Berkeley","","Berkeley","California","USA","datafest.stat.berkeley.edu","Berkeley California USA",-122.272747,37.8715926,2012,"No",NA,NA,"","","",""
"46",46,"4/25/2017 16:38:43","Miami University (Ohio)","","Oxford","Ohio","USA","http://miamioh.edu/fsb/centers/cads/experiential/datafest/","Oxford Ohio USA",-84.745231,39.5069974,2012,"No",NA,NA,"","","",""
"47",47,"4/25/2017 21:46:31","University of Massachusets","","Amherst","Massachusetts","USA","http://www.science.smith.edu/datafest/","Amherst Massachusetts USA",-72.5198537,42.3732216,2012,"No",NA,NA,"","","",""
"48",48,"4/25/2017 21:55:14","University of New Mexico","","Albuquerque","New Mexico","USA","http://math.unm.edu/news-events/events/asa-datafest","Albuquerque New Mexico USA",-106.6055534,35.0853336,2012,"No",NA,NA,"","","",""
"49",49,"4/26/2017 9:40:50","Columbia University","","New York","New York","USA","http://blogs.cuit.columbia.edu/statisticsclub/events/spring-datafest-2017/","New York New York USA",-74.0059413,40.7127837,2012,"No",NA,NA,"","","",""
"50",50,"4/26/2017 13:57:28","University of Mannheim","","Mannheim",NA,"Germany","http://datafest.de/","Mannheim NA Germany",8.4660395,49.4874592,2012,"No",NA,NA,"","","",""
"51",51,"4/26/2017 15:13:24","University of Virginia","","Charlottesville","Virginia","USA","http://datafest.virginia.edu/","Charlottesville Virginia USA",-78.4766781,38.0293059,2012,"No",NA,NA,"","","",""
"52",52,"4/27/2017 9:59:29","Virginia Tech","","Blacksburg","Virginia","USA","http://www.stat.vt.edu/Academics/undergraduate/VTdatafest.html","Blacksburg Virginia USA",-80.4139393,37.2295733,2012,"No",NA,NA,"","","",""
"53",53,"4/27/2017 10:27:25","Summit Consulting, DC","","Washington","District of Columbia","USA","https://www.facebook.com/events/520875878090896/","Washington District of Columbia USA",-77.0368707,38.9071923,2012,"No",NA,NA,"","","",""
"54",54,"4/27/2017 16:06:26","Case Western Reserve University","","Cleveland","Ohio","USA","http://mathstats.case.edu/datafest-2017/","Cleveland Ohio USA",-81.6943605,41.49932,2012,"No",NA,NA,"","","",""
"55",55,NA,"Macalaster College","","St Paul","Minnessota","USA","https://www.macalester.edu/datafest/","St Paul Minnessota USA",-93.0899578,44.9537029,2012,"No",NA,NA,"","","",""
"56",56,NA,"Loyola University Chicago","","Chicago","Illinois","USA","http://pascal.math.luc.edu/datafest/","Chicago Illinois USA",-87.6297982,41.8781136,2012,"No",NA,NA,"","","",""
"57",57,NA,"Brown University","","Providence","Rhode Island","USA",NA,"Providence Rhode Island USA",-71.4128343,41.8239891,2012,"No",NA,NA,"","","",""
"58",58,NA,"University of Toronto","","Toronto","Ontario","Canada","https://utorontodatafest.wordpress.com/","Toronto Ontario Canada",-79.3831843,43.653226,2012,"No",NA,NA,"","","",""
"59",59,"4/25/2017 14:17:28","Duke University","","Durham","North Carolina","USA","http://stat.duke.edu/datafest","Durham North Carolina USA",-78.898619,35.9940329,2013,"Yes",52,"UNC Chapel Hill, NC State","","","",""
"60",60,"4/25/2017 14:28:04","Vassar College","","Arlington","New York","USA","http://pages.vassar.edu/datafest/","Arlington New York USA",-73.8968025,41.6959269,2013,"No",NA,NA,"","","",""
"61",61,"4/25/2017 14:28:21","Purdue University","","Lafayette","Indiana","USA","http://llc.stat.purdue.edu/datafest2016.html","Lafayette Indiana USA",-86.8752869,40.4167022,2013,"No",NA,NA,"","","",""
"62",62,"4/25/2017 14:31:52","Emory University","","Atlanta","Georgia","USA","http://www.quantitative.emory.edu/events/datafest%20.html","Atlanta Georgia USA",-84.3879824,33.7489954,2013,"No",NA,NA,"","","",""
"63",63,"4/25/2017 14:32:44","Davidson College","","Davidson","North Carolina","USA","https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest","Davidson North Carolina USA",-80.8486846,35.4993031,2013,"No",NA,NA,"","","",""
"64",64,"4/25/2017 14:34:07","Middlebury College","","Middlebury","Vermont","USA","http://go.middlebury.edu/datafest","Middlebury Vermont USA",-73.16734,44.0153371,2013,"No",NA,NA,"","","",""
"65",65,"4/25/2017 14:35:02","Wellesley College","","Wellesley","Massachusetts","USA","http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97","Wellesley Massachusetts USA",-71.2923877,42.296797,2013,"No",NA,NA,"","","",""
"66",66,"4/25/2017 14:37:08","Wesleyan University","","Middletown","Connecticut","USA","http://datafest.blogs.wesleyan.edu/","Middletown Connecticut USA",-72.6506488,41.5623209,2013,"No",NA,NA,"","","",""
"67",67,"4/25/2017 15:07:10","Grand Valley State University","","Allendale","Michigan","USA","http://www.gvsu.edu/stat/datafest-50.htm","Allendale Michigan USA",-85.9540407,42.9721934,2013,"No",NA,NA,"","","",""
"68",68,"4/25/2017 15:23:37","Penn State University","","State College","Pennsylvania","USA","http://stat.psu.edu/Events/2016-datafest","State College Pennsylvania USA",-77.8600012,40.7933949,2013,"No",NA,NA,"","","",""
"69",69,"4/25/2017 15:25:14","UCLA","","Los Angeles","California","USA","http://datafest.stat.ucla.edu/","Los Angeles California USA",-118.2436849,34.0522342,2013,"Yes",110,"Pomona College","","","",""
"70",70,"4/25/2017 15:28:06","University of Missouri","","Columbia","Missouri","USA",NA,"Columbia Missouri USA",-92.3340724,38.9517053,2013,"No",NA,NA,"","","",""
"71",71,"4/25/2017 15:30:31","Cleveland State University","","Cleveland","Ohio","USA","https://sites.google.com/view/csudatafest/home","Cleveland Ohio USA",-81.6943605,41.49932,2013,"No",NA,NA,"","","",""
"72",72,"4/25/2017 15:33:19","Ohio State University","","Columbus","Ohio","USA","https://data-analytics.osu.edu/datafest","Columbus Ohio USA",-82.9987942,39.9611755,2013,"No",NA,NA,"","","",""
"73",73,"4/25/2017 16:19:13","Chapman University","","Orange","California","USA","http://www.chapman.edu/scst/conferences-and-events/datafest.aspx","Orange California USA",-117.8531007,33.7879139,2013,"No",NA,NA,"","","",""
"74",74,"4/25/2017 16:28:30","UC Berkeley","","Berkeley","California","USA","datafest.stat.berkeley.edu","Berkeley California USA",-122.272747,37.8715926,2013,"No",NA,NA,"","","",""
"75",75,"4/25/2017 16:38:43","Miami University (Ohio)","","Oxford","Ohio","USA","http://miamioh.edu/fsb/centers/cads/experiential/datafest/","Oxford Ohio USA",-84.745231,39.5069974,2013,"No",NA,NA,"","","",""
"76",76,"4/25/2017 21:46:31","University of Massachusets","","Amherst","Massachusetts","USA","http://www.science.smith.edu/datafest/","Amherst Massachusetts USA",-72.5198537,42.3732216,2013,"No",NA,NA,"","","",""
"77",77,"4/25/2017 21:55:14","University of New Mexico","","Albuquerque","New Mexico","USA","http://math.unm.edu/news-events/events/asa-datafest","Albuquerque New Mexico USA",-106.6055534,35.0853336,2013,"No",NA,NA,"","","",""
"78",78,"4/26/2017 9:40:50","Columbia University","","New York","New York","USA","http://blogs.cuit.columbia.edu/statisticsclub/events/spring-datafest-2017/","New York New York USA",-74.0059413,40.7127837,2013,"No",NA,NA,"","","",""
"79",79,"4/26/2017 13:57:28","University of Mannheim","","Mannheim",NA,"Germany","http://datafest.de/","Mannheim NA Germany",8.4660395,49.4874592,2013,"No",NA,NA,"","","",""
"80",80,"4/26/2017 15:13:24","University of Virginia","","Charlottesville","Virginia","USA","http://datafest.virginia.edu/","Charlottesville Virginia USA",-78.4766781,38.0293059,2013,"No",NA,NA,"","","",""
"81",81,"4/27/2017 9:59:29","Virginia Tech","","Blacksburg","Virginia","USA","http://www.stat.vt.edu/Academics/undergraduate/VTdatafest.html","Blacksburg Virginia USA",-80.4139393,37.2295733,2013,"No",NA,NA,"","","",""
"82",82,"4/27/2017 10:27:25","Summit Consulting, DC","","Washington","District of Columbia","USA","https://www.facebook.com/events/520875878090896/","Washington District of Columbia USA",-77.0368707,38.9071923,2013,"No",NA,NA,"","","",""
"83",83,"4/27/2017 16:06:26","Case Western Reserve University","","Cleveland","Ohio","USA","http://mathstats.case.edu/datafest-2017/","Cleveland Ohio USA",-81.6943605,41.49932,2013,"No",NA,NA,"","","",""
"84",84,NA,"Macalaster College","","St Paul","Minnessota","USA","https://www.macalester.edu/datafest/","St Paul Minnessota USA",-93.0899578,44.9537029,2013,"No",NA,NA,"","","",""
"85",85,NA,"Loyola University Chicago","","Chicago","Illinois","USA","http://pascal.math.luc.edu/datafest/","Chicago Illinois USA",-87.6297982,41.8781136,2013,"No",NA,NA,"","","",""
"86",86,NA,"Brown University","","Providence","Rhode Island","USA",NA,"Providence Rhode Island USA",-71.4128343,41.8239891,2013,"No",NA,NA,"","","",""
"87",87,NA,"University of Toronto","","Toronto","Ontario","Canada","https://utorontodatafest.wordpress.com/","Toronto Ontario Canada",-79.3831843,43.653226,2013,"No",NA,NA,"","","",""
"88",88,"4/25/2017 14:17:28","Duke University","","Durham","North Carolina","USA","http://stat.duke.edu/datafest","Durham North Carolina USA",-78.898619,35.9940329,2014,"Yes",112,"UNC Chapel Hill, NC State, Dartmouth","","","",""
"89",89,"4/25/2017 14:28:04","Vassar College","","Arlington","New York","USA","http://pages.vassar.edu/datafest/","Arlington New York USA",-73.8968025,41.6959269,2014,"No",NA,NA,"","","",""
"90",90,"4/25/2017 14:28:21","Purdue University","","Lafayette","Indiana","USA","http://llc.stat.purdue.edu/datafest2016.html","Lafayette Indiana USA",-86.8752869,40.4167022,2014,"No",NA,NA,"","","",""
"91",91,"4/25/2017 14:31:52","Emory University","","Atlanta","Georgia","USA","http://www.quantitative.emory.edu/events/datafest%20.html","Atlanta Georgia USA",-84.3879824,33.7489954,2014,"Yes",41,NA,"","","",""
"92",92,"4/25/2017 14:32:44","Davidson College","","Davidson","North Carolina","USA","https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest","Davidson North Carolina USA",-80.8486846,35.4993031,2014,"No",NA,NA,"","","",""
"93",93,"4/25/2017 14:34:07","Middlebury College","","Middlebury","Vermont","USA","http://go.middlebury.edu/datafest","Middlebury Vermont USA",-73.16734,44.0153371,2014,"No",NA,NA,"","","",""
"94",94,"4/25/2017 14:35:02","Wellesley College","","Wellesley","Massachusetts","USA","http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97","Wellesley Massachusetts USA",-71.2923877,42.296797,2014,"No",NA,NA,"","","",""
"95",95,"4/25/2017 14:37:08","Wesleyan University","","Middletown","Connecticut","USA","http://datafest.blogs.wesleyan.edu/","Middletown Connecticut USA",-72.6506488,41.5623209,2014,"No",NA,NA,"","","",""
"96",96,"4/25/2017 15:07:10","Grand Valley State University","","Allendale","Michigan","USA","http://www.gvsu.edu/stat/datafest-50.htm","Allendale Michigan USA",-85.9540407,42.9721934,2014,"No",NA,NA,"","","",""
"97",97,"4/25/2017 15:23:37","Penn State University","","State College","Pennsylvania","USA","http://stat.psu.edu/Events/2016-datafest","State College Pennsylvania USA",-77.8600012,40.7933949,2014,"No",NA,NA,"","","",""
"98",98,"4/25/2017 15:25:14","UCLA","","Los Angeles","California","USA","http://datafest.stat.ucla.edu/","Los Angeles California USA",-118.2436849,34.0522342,2014,"Yes",200,"Pomona, UCR, USC","","","",""
"99",99,"4/25/2017 15:28:06","University of Missouri","","Columbia","Missouri","USA",NA,"Columbia Missouri USA",-92.3340724,38.9517053,2014,"No",NA,NA,"","","",""
"100",100,"4/25/2017 15:30:31","Cleveland State University","","Cleveland","Ohio","USA","https://sites.google.com/view/csudatafest/home","Cleveland Ohio USA",-81.6943605,41.49932,2014,"No",NA,NA,"","","",""
"101",101,"4/25/2017 15:33:19","Ohio State University","","Columbus","Ohio","USA","https://data-analytics.osu.edu/datafest","Columbus Ohio USA",-82.9987942,39.9611755,2014,"No",NA,NA,"","","",""
"102",102,"4/25/2017 16:19:13","Chapman University","","Orange","California","USA","http://www.chapman.edu/scst/conferences-and-events/datafest.aspx","Orange California USA",-117.8531007,33.7879139,2014,"No",NA,NA,"","","",""
"103",103,"4/25/2017 16:28:30","UC Berkeley","","Berkeley","California","USA","datafest.stat.berkeley.edu","Berkeley California USA",-122.272747,37.8715926,2014,"No",NA,NA,"","","",""
"104",104,"4/25/2017 16:38:43","Miami University (Ohio)","","Oxford","Ohio","USA","http://miamioh.edu/fsb/centers/cads/experiential/datafest/","Oxford Ohio USA",-84.745231,39.5069974,2014,"No",NA,NA,"","","",""
"105",105,"4/25/2017 21:46:31","University of Massachusets","","Amherst","Massachusetts","USA","http://www.science.smith.edu/datafest/","Amherst Massachusetts USA",-72.5198537,42.3732216,2014,"Yes",79,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges","","","",""
"106",106,"4/25/2017 21:55:14","University of New Mexico","","Albuquerque","New Mexico","USA","http://math.unm.edu/news-events/events/asa-datafest","Albuquerque New Mexico USA",-106.6055534,35.0853336,2014,"No",NA,NA,"","","",""
"107",107,"4/26/2017 9:40:50","Columbia University","","New York","New York","USA","http://blogs.cuit.columbia.edu/statisticsclub/events/spring-datafest-2017/","New York New York USA",-74.0059413,40.7127837,2014,"No",NA,NA,"","","",""
"108",108,"4/26/2017 13:57:28","University of Mannheim","","Mannheim",NA,"Germany","http://datafest.de/","Mannheim NA Germany",8.4660395,49.4874592,2014,"No",NA,NA,"","","",""
"109",109,"4/26/2017 15:13:24","University of Virginia","","Charlottesville","Virginia","USA","http://datafest.virginia.edu/","Charlottesville Virginia USA",-78.4766781,38.0293059,2014,"No",NA,NA,"","","",""
